Service Type,Current participants
Capital,241.00 - 250.00
Community Participation Care,551.00 - 560.00
Early Childhood Supports,241.00 - 250.00
Group Centre Care,131.00 - 140.00
High Needs Personal Care,151.00 - 160.00
Other Capacity Building,371.00 - 380.00
Other Core,641.00 - 650.00
Personal Care,441.00 - 450.00
Plan Management,881.00 - 890.00
Shared Accommodation Supports,131.00 - 140.00
Support Coordination,641.00 - 650.00
Therapy,791.00 - 800.00
Total,1091 - 1100
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,151.00 - 160.00
Cultural and Linguistically Diverse participants,201.00 - 210.00
,
Service Type,Current spend
Capital,$1377378
Community Participation Care,$17634294
Early Childhood Supports,$1690713
Group Centre Care,$1469955
High Needs Personal Care,$1163801
Other Capacity Building,$2819937
Other Core,$4789724
Personal Care,$16257559
Plan Management,$1147028
Shared Accommodation Supports,$10441819
Support Coordination,$2657377
Therapy,$5130328
Total,$66579900
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,197,130,67
Community Participation Care,616,239,377
Early Childhood Supports,140,68,72
Group Centre Care,101,47,54
High Needs Personal Care,157,61,96
Other Capacity Building,310,148,162
Other Core,655,226,429
Personal Care,479,191,288
Plan Management,141,140,<5
Shared Accommodation Supports,134,60,74
Support Coordination,350,214,136
Therapy,627,243,384
Total,2248,901,1347
,
