Service Type,Current participants
Capital,161.00 - 170.00
Community Participation Care,221.00 - 230.00
Early Childhood Supports,101.00 - 110.00
Group Centre Care,81.00 - 90.00
High Needs Personal Care,51.00 - 60.00
Other Capacity Building,241.00 - 250.00
Other Core,351.00 - 360.00
Personal Care,131.00 - 140.00
Plan Management,421.00 - 430.00
Shared Accommodation Supports,51.00 - 60.00
Support Coordination,241.00 - 250.00
Therapy,381.00 - 390.00
Total,551.00 - 560.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$706285
Community Participation Care,$3609705
Early Childhood Supports,$628529
Group Centre Care,$589529
High Needs Personal Care,$1321352
Other Capacity Building,$1806768
Other Core,$4223779
Personal Care,$3755895
Plan Management,$552281
Shared Accommodation Supports,$1536571
Support Coordination,$1001318
Therapy,$2794503
Total,$22526500
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,123,70,53
Community Participation Care,265,47,218
Early Childhood Supports,83,26,57
Group Centre Care,65,20,45
High Needs Personal Care,63,15,48
Other Capacity Building,179,54,125
Other Core,463,123,340
Personal Care,193,34,159
Plan Management,45,45,<5
Shared Accommodation Supports,56,19,37
Support Coordination,122,57,65
Therapy,332,80,252
Total,1224,324,900
,
