Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,21.00 - 30.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$6743
Community Participation Care,$97917
Early Childhood Supports,$11171
Group Centre Care,$45534
High Needs Personal Care,$102
Other Capacity Building,$136272
Other Core,$262725
Personal Care,$94972
Plan Management,$28118
Shared Accommodation Supports,$6488
Support Coordination,$22694
Therapy,$55258
Total,$768000
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,<5,<5,<5
Community Participation Care,10,<5,7
Early Childhood Supports,<5,<5,<5
Group Centre Care,5,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,<5,<5,<5
Other Core,10,<5,7
Personal Care,5,<5,<5
Plan Management,9,9,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,8,5,<5
Therapy,19,10,9
Total,51,27,24
,
