Service Type,Current participants
Capital,141.00 - 150.00
Community Participation Care,171.00 - 180.00
Early Childhood Supports,161.00 - 170.00
Group Centre Care,41.00 - 50.00
High Needs Personal Care,31.00 - 40.00
Other Capacity Building,291.00 - 300.00
Other Core,341.00 - 350.00
Personal Care,121.00 - 130.00
Plan Management,451.00 - 460.00
Shared Accommodation Supports,51.00 - 60.00
Support Coordination,221.00 - 230.00
Therapy,381.00 - 390.00
Total,631.00 - 640.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,71.00 - 80.00
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$857128
Community Participation Care,$3588719
Early Childhood Supports,$826562
Group Centre Care,$631391
High Needs Personal Care,$528061
Other Capacity Building,$2236309
Other Core,$3677172
Personal Care,$3652392
Plan Management,$586353
Shared Accommodation Supports,$1973381
Support Coordination,$592026
Therapy,$2907664
Total,$22057200
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,114,69,45
Community Participation Care,260,63,197
Early Childhood Supports,114,53,61
Group Centre Care,35,15,20
High Needs Personal Care,52,13,39
Other Capacity Building,244,85,159
Other Core,440,126,314
Personal Care,179,36,143
Plan Management,80,79,<5
Shared Accommodation Supports,55,20,35
Support Coordination,174,98,76
Therapy,361,126,235
Total,1360,493,867
,
