Service Type,Current participants
Capital,61.00 - 70.00
Community Participation Care,81.00 - 90.00
Early Childhood Supports,<=20
Group Centre Care,21.00 - 30.00
High Needs Personal Care,<=20
Other Capacity Building,21.00 - 30.00
Other Core,51.00 - 60.00
Personal Care,71.00 - 80.00
Plan Management,151.00 - 160.00
Shared Accommodation Supports,<=20
Support Coordination,151.00 - 160.00
Therapy,121.00 - 130.00
Total,161.00 - 170.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,141.00 - 150.00
Cultural and Linguistically Diverse participants,51.00 - 60.00
,
Service Type,Current spend
Capital,$236806
Community Participation Care,$1319718
Early Childhood Supports,$40910
Group Centre Care,$64937
High Needs Personal Care,$679
Other Capacity Building,$60154
Other Core,$220803
Personal Care,$1526849
Plan Management,$264042
Shared Accommodation Supports,$250270
Support Coordination,$640343
Therapy,$676293
Total,$5301800
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,30,12,18
Community Participation Care,27,10,17
Early Childhood Supports,13,6,7
Group Centre Care,6,<5,5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,12,6,6
Other Core,37,17,20
Personal Care,23,7,16
Plan Management,13,12,<5
Shared Accommodation Supports,10,<5,6
Support Coordination,21,15,6
Therapy,22,12,10
Total,115,57,58
,
