Service Type,Current participants
Capital,351.00 - 360.00
Community Participation Care,671.00 - 680.00
Early Childhood Supports,331.00 - 340.00
Group Centre Care,291.00 - 300.00
High Needs Personal Care,141.00 - 150.00
Other Capacity Building,801.00 - 810.00
Other Core,1001 - 1010
Personal Care,361.00 - 370.00
Plan Management,921.00 - 930.00
Shared Accommodation Supports,311.00 - 320.00
Support Coordination,791.00 - 800.00
Therapy,1101 - 1110
Total,1651 - 1660
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,161.00 - 170.00
Cultural and Linguistically Diverse participants,71.00 - 80.00
,
Service Type,Current spend
Capital,$4799334
Community Participation Care,$20315458
Early Childhood Supports,$2376684
Group Centre Care,$4425726
High Needs Personal Care,$4689959
Other Capacity Building,$7355835
Other Core,$8700402
Personal Care,$17900272
Plan Management,$1198883
Shared Accommodation Supports,$59215274
Support Coordination,$3454076
Therapy,$7834326
Total,$142266200
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,197,138,59
Community Participation Care,461,176,285
Early Childhood Supports,186,99,87
Group Centre Care,107,70,37
High Needs Personal Care,113,61,52
Other Capacity Building,449,226,223
Other Core,720,266,454
Personal Care,359,133,226
Plan Management,89,89,<5
Shared Accommodation Supports,115,77,38
Support Coordination,247,174,73
Therapy,559,270,289
Total,2031,845,1186
,
