Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,<=20
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$7074
Community Participation Care,$45055
Early Childhood Supports,$12476
Group Centre Care,$237
High Needs Personal Care,$20242
Other Capacity Building,$24549
Other Core,$29506
Personal Care,$55034
Plan Management,$7695
Shared Accommodation Supports,$22526
Support Coordination,$13574
Therapy,$25117
Total,$263100
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,<5,<5,<5
Community Participation Care,8,<5,8
Early Childhood Supports,<5,<5,<5
Group Centre Care,<5,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,<5,<5,<5
Other Core,11,<5,10
Personal Care,6,<5,6
Plan Management,7,7,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,<5,<5,<5
Therapy,9,<5,7
Total,37,16,21
,
