Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Support Coordination,<=20
Therapy,<=20
Total,<=20
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$14245
Community Participation Care,$48337
Early Childhood Supports,$1912
Group Centre Care,$172520
High Needs Personal Care,$282
Other Capacity Building,$2283
Other Core,$18934
Personal Care,$88818
Plan Management,$6928
Support Coordination,$4262
Therapy,$16850
Total,$375400
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,<5,<5,<5
Community Participation Care,<5,<5,<5
Early Childhood Supports,<5,<5,<5
Group Centre Care,<5,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,<5,<5,<5
Other Core,5,<5,<5
Personal Care,7,<5,<5
Plan Management,6,6,<5
Support Coordination,<5,<5,<5
Therapy,7,<5,<5
Total,21,12,9
,
