Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,21.00 - 30.00
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,21.00 - 30.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$36299
Community Participation Care,$112453
Early Childhood Supports,$30629
Group Centre Care,$19572
Other Capacity Building,$83392
Other Core,$49844
Personal Care,$34317
Plan Management,$29887
Shared Accommodation Supports,$125080
Support Coordination,$11832
Therapy,$106157
Total,$639500
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,<5,<5,<5
Community Participation Care,13,5,8
Early Childhood Supports,6,<5,<5
Group Centre Care,<5,<5,<5
Other Capacity Building,8,<5,<5
Other Core,16,6,10
Personal Care,8,<5,<5
Plan Management,9,9,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,8,5,<5
Therapy,22,11,11
Total,69,33,36
,
