Service Type,Current participants
Capital,221.00 - 230.00
Community Participation Care,311.00 - 320.00
Early Childhood Supports,141.00 - 150.00
Group Centre Care,81.00 - 90.00
High Needs Personal Care,51.00 - 60.00
Other Capacity Building,201.00 - 210.00
Other Core,391.00 - 400.00
Personal Care,191.00 - 200.00
Plan Management,421.00 - 430.00
Shared Accommodation Supports,81.00 - 90.00
Support Coordination,311.00 - 320.00
Therapy,421.00 - 430.00
Total,651.00 - 660.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,121.00 - 130.00
Cultural and Linguistically Diverse participants,21.00 - 30.00
,
Service Type,Current spend
Capital,$1263457
Community Participation Care,$11231124
Early Childhood Supports,$863189
Group Centre Care,$809917
High Needs Personal Care,$2567835
Other Capacity Building,$1922978
Other Core,$4087603
Personal Care,$10030442
Plan Management,$524499
Shared Accommodation Supports,$12082143
Support Coordination,$1346705
Therapy,$2566243
Total,$49296100
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,118,80,38
Community Participation Care,240,86,154
Early Childhood Supports,75,30,45
Group Centre Care,40,23,17
High Needs Personal Care,41,23,18
Other Capacity Building,161,85,76
Other Core,370,123,247
Personal Care,182,67,115
Plan Management,44,43,<5
Shared Accommodation Supports,47,29,18
Support Coordination,94,56,38
Therapy,214,94,120
Total,941,342,599
,
