Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,21.00 - 30.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$71115
Community Participation Care,$198688
Early Childhood Supports,$4816
Group Centre Care,$26711
High Needs Personal Care,$6345
Other Capacity Building,$44636
Other Core,$111477
Personal Care,$189195
Plan Management,$22320
Shared Accommodation Supports,$13942
Support Coordination,$27002
Therapy,$83399
Total,$799600
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,8,<5,<5
Community Participation Care,14,<5,10
Early Childhood Supports,<5,<5,<5
Group Centre Care,<5,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,5,<5,<5
Other Core,27,12,15
Personal Care,11,<5,8
Plan Management,9,9,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,7,5,<5
Therapy,23,8,15
Total,76,32,44
,
