Service Type,Current participants
Capital,<=20
Community Participation Care,21.00 - 30.00
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,21.00 - 30.00
Other Core,31.00 - 40.00
Personal Care,<=20
Plan Management,41.00 - 50.00
Shared Accommodation Supports,<=20
Support Coordination,21.00 - 30.00
Therapy,31.00 - 40.00
Total,61.00 - 70.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$144437
Community Participation Care,$509533
Early Childhood Supports,$35867
Group Centre Care,$12041
High Needs Personal Care,$1147
Other Capacity Building,$171768
Other Core,$511519
Personal Care,$378430
Plan Management,$53784
Shared Accommodation Supports,$115105
Support Coordination,$99241
Therapy,$326316
Total,$2359200
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,22,18,<5
Community Participation Care,29,10,19
Early Childhood Supports,8,<5,<5
Group Centre Care,<5,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,21,12,9
Other Core,59,31,28
Personal Care,16,7,9
Plan Management,17,17,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,28,22,6
Therapy,49,29,20
Total,187,111,76
,
