Service Type,Current participants
Capital,31.00 - 40.00
Community Participation Care,51.00 - 60.00
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,61.00 - 70.00
Other Core,81.00 - 90.00
Personal Care,41.00 - 50.00
Plan Management,71.00 - 80.00
Shared Accommodation Supports,<=20
Support Coordination,51.00 - 60.00
Therapy,61.00 - 70.00
Total,111.00 - 120.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$1143040
Community Participation Care,$1155520
Early Childhood Supports,$60127
Group Centre Care,$58225
High Needs Personal Care,$64451
Other Capacity Building,$519445
Other Core,$1080933
Personal Care,$3225481
Plan Management,$96339
Shared Accommodation Supports,$1634048
Support Coordination,$298653
Therapy,$558592
Total,$9894900
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,47,32,15
Community Participation Care,87,31,56
Early Childhood Supports,17,8,9
Group Centre Care,16,8,8
High Needs Personal Care,12,<5,8
Other Capacity Building,94,34,60
Other Core,111,53,58
Personal Care,113,30,83
Plan Management,27,27,<5
Shared Accommodation Supports,30,13,17
Support Coordination,57,38,19
Therapy,128,53,75
Total,513,216,297
,
