Service Type,Current participants
Capital,41.00 - 50.00
Community Participation Care,51.00 - 60.00
Early Childhood Supports,<=20
Group Centre Care,21.00 - 30.00
High Needs Personal Care,<=20
Other Capacity Building,151.00 - 160.00
Other Core,141.00 - 150.00
Personal Care,41.00 - 50.00
Plan Management,71.00 - 80.00
Shared Accommodation Supports,31.00 - 40.00
Support Coordination,61.00 - 70.00
Therapy,71.00 - 80.00
Total,211.00 - 220.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$1095599
Community Participation Care,$949109
Early Childhood Supports,$27658
Group Centre Care,$992148
High Needs Personal Care,$247194
Other Capacity Building,$1677571
Other Core,$1702734
Personal Care,$1513686
Plan Management,$90731
Shared Accommodation Supports,$4563706
Support Coordination,$209853
Therapy,$603162
Total,$13673100
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,48,28,20
Community Participation Care,102,31,71
Early Childhood Supports,15,<5,11
Group Centre Care,24,13,11
High Needs Personal Care,23,12,11
Other Capacity Building,144,44,100
Other Core,155,59,96
Personal Care,72,18,54
Plan Management,32,32,<5
Shared Accommodation Supports,19,9,10
Support Coordination,51,36,15
Therapy,104,43,61
Total,529,210,319
,
