Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,21.00 - 30.00
Other Core,21.00 - 30.00
Personal Care,<=20
Plan Management,21.00 - 30.00
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,21.00 - 30.00
Total,41.00 - 50.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$55065
Community Participation Care,$307009
Early Childhood Supports,$6981
Group Centre Care,$336
High Needs Personal Care,$131
Other Capacity Building,$156673
Other Core,$308187
Personal Care,$329027
Plan Management,$32388
Shared Accommodation Supports,$45754
Support Coordination,$32073
Therapy,$98512
Total,$1372100
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,8,5,<5
Community Participation Care,27,<5,24
Early Childhood Supports,<5,<5,<5
Group Centre Care,<5,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,28,6,22
Other Core,52,11,41
Personal Care,21,<5,17
Plan Management,13,13,<5
Shared Accommodation Supports,5,<5,<5
Support Coordination,10,<5,6
Therapy,34,<5,30
Total,151,39,112
,
