Service Type,Current participants
Capital,41.00 - 50.00
Community Participation Care,81.00 - 90.00
Early Childhood Supports,41.00 - 50.00
Group Centre Care,41.00 - 50.00
High Needs Personal Care,<=20
Other Capacity Building,141.00 - 150.00
Other Core,161.00 - 170.00
Personal Care,41.00 - 50.00
Plan Management,171.00 - 180.00
Shared Accommodation Supports,31.00 - 40.00
Support Coordination,81.00 - 90.00
Therapy,131.00 - 140.00
Total,261.00 - 270.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$353071
Community Participation Care,$2096223
Early Childhood Supports,$209461
Group Centre Care,$504869
High Needs Personal Care,$75415
Other Capacity Building,$1279660
Other Core,$3648869
Personal Care,$1354392
Plan Management,$220057
Shared Accommodation Supports,$2292543
Support Coordination,$278501
Therapy,$890540
Total,$13203600
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,41,32,9
Community Participation Care,100,35,65
Early Childhood Supports,38,9,29
Group Centre Care,23,13,10
High Needs Personal Care,15,6,9
Other Capacity Building,147,52,95
Other Core,238,72,166
Personal Care,51,19,32
Plan Management,40,40,<5
Shared Accommodation Supports,23,13,10
Support Coordination,59,40,19
Therapy,166,55,111
Total,613,220,393
,
