Service Type,Current participants
Capital,121.00 - 130.00
Community Participation Care,191.00 - 200.00
Early Childhood Supports,51.00 - 60.00
Group Centre Care,41.00 - 50.00
High Needs Personal Care,41.00 - 50.00
Other Capacity Building,211.00 - 220.00
Other Core,311.00 - 320.00
Personal Care,121.00 - 130.00
Plan Management,271.00 - 280.00
Shared Accommodation Supports,61.00 - 70.00
Support Coordination,201.00 - 210.00
Therapy,271.00 - 280.00
Total,441.00 - 450.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,71.00 - 80.00
,
Service Type,Current spend
Capital,$1310026
Community Participation Care,$4796269
Early Childhood Supports,$468674
Group Centre Care,$351640
High Needs Personal Care,$1599214
Other Capacity Building,$2418105
Other Core,$4072786
Personal Care,$3441133
Plan Management,$348031
Shared Accommodation Supports,$9627664
Support Coordination,$791750
Therapy,$2419312
Total,$31644600
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,110,78,32
Community Participation Care,199,93,106
Early Childhood Supports,42,21,21
Group Centre Care,30,18,12
High Needs Personal Care,40,25,15
Other Capacity Building,218,95,123
Other Core,484,172,312
Personal Care,170,62,108
Plan Management,48,48,<5
Shared Accommodation Supports,43,36,7
Support Coordination,137,90,47
Therapy,272,127,145
Total,1153,466,687
,
