Service Type,Current participants
Capital,41.00 - 50.00
Community Participation Care,51.00 - 60.00
Early Childhood Supports,<=20
Group Centre Care,21.00 - 30.00
High Needs Personal Care,21.00 - 30.00
Other Capacity Building,211.00 - 220.00
Other Core,181.00 - 190.00
Personal Care,41.00 - 50.00
Plan Management,91.00 - 100.00
Shared Accommodation Supports,21.00 - 30.00
Support Coordination,71.00 - 80.00
Therapy,91.00 - 100.00
Total,301.00 - 310.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,51.00 - 60.00
,
Service Type,Current spend
Capital,$589855
Community Participation Care,$1319085
Early Childhood Supports,$155129
Group Centre Care,$874554
High Needs Personal Care,$691999
Other Capacity Building,$2415506
Other Core,$2937339
Personal Care,$1630758
Plan Management,$117479
Shared Accommodation Supports,$5390670
Support Coordination,$285170
Therapy,$981868
Total,$17389400
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,35,29,6
Community Participation Care,83,37,46
Early Childhood Supports,31,14,17
Group Centre Care,21,12,9
High Needs Personal Care,40,15,25
Other Capacity Building,190,67,123
Other Core,265,77,188
Personal Care,73,21,52
Plan Management,34,34,<5
Shared Accommodation Supports,14,10,<5
Support Coordination,58,47,11
Therapy,174,79,95
Total,714,282,432
,
