Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,21.00 - 30.00
Personal Care,<=20
Plan Management,21.00 - 30.00
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,31.00 - 40.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$96043
Community Participation Care,$116609
Early Childhood Supports,$30573
High Needs Personal Care,$24
Other Capacity Building,$262337
Other Core,$746093
Personal Care,$44040
Plan Management,$27160
Shared Accommodation Supports,$1909
Support Coordination,$19255
Therapy,$104223
Total,$1448300
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,10,9,<5
Community Participation Care,10,6,<5
Early Childhood Supports,6,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,19,11,8
Other Core,45,13,32
Personal Care,11,<5,8
Plan Management,15,15,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,12,11,<5
Therapy,24,15,9
Total,118,63,55
,
