Service Type,Current participants
Capital,181.00 - 190.00
Community Participation Care,321.00 - 330.00
Early Childhood Supports,161.00 - 170.00
Group Centre Care,41.00 - 50.00
High Needs Personal Care,61.00 - 70.00
Other Capacity Building,321.00 - 330.00
Other Core,471.00 - 480.00
Personal Care,211.00 - 220.00
Plan Management,531.00 - 540.00
Shared Accommodation Supports,81.00 - 90.00
Support Coordination,381.00 - 390.00
Therapy,561.00 - 570.00
Total,831.00 - 840.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,61.00 - 70.00
Cultural and Linguistically Diverse participants,51.00 - 60.00
,
Service Type,Current spend
Capital,$931242
Community Participation Care,$7949451
Early Childhood Supports,$1258026
Group Centre Care,$346409
High Needs Personal Care,$1051664
Other Capacity Building,$3237316
Other Core,$3692175
Personal Care,$8427420
Plan Management,$672665
Shared Accommodation Supports,$8619468
Support Coordination,$1898966
Therapy,$4566682
Total,$42651500
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,135,93,42
Community Participation Care,341,126,215
Early Childhood Supports,98,48,50
Group Centre Care,35,19,16
High Needs Personal Care,59,29,30
Other Capacity Building,252,116,136
Other Core,554,174,380
Personal Care,250,89,161
Plan Management,72,72,<5
Shared Accommodation Supports,79,42,37
Support Coordination,221,114,107
Therapy,383,151,232
Total,1509,569,940
,
