Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,<=20
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$67609
Community Participation Care,$204423
Early Childhood Supports,$11544
Group Centre Care,$57274
High Needs Personal Care,$6030
Other Capacity Building,$28777
Other Core,$53778
Personal Care,$56096
Plan Management,$13896
Shared Accommodation Supports,$28111
Support Coordination,$28074
Therapy,$56046
Total,$611700
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,8,<5,<5
Community Participation Care,19,<5,16
Early Childhood Supports,<5,<5,<5
Group Centre Care,<5,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,<5,<5,<5
Other Core,14,<5,10
Personal Care,11,<5,8
Plan Management,6,6,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,8,7,<5
Therapy,22,7,15
Total,76,31,45
,
