Service Type,Current participants
Capital,101.00 - 110.00
Community Participation Care,111.00 - 120.00
Early Childhood Supports,91.00 - 100.00
Group Centre Care,31.00 - 40.00
High Needs Personal Care,31.00 - 40.00
Other Capacity Building,241.00 - 250.00
Other Core,291.00 - 300.00
Personal Care,91.00 - 100.00
Plan Management,291.00 - 300.00
Shared Accommodation Supports,41.00 - 50.00
Support Coordination,131.00 - 140.00
Therapy,251.00 - 260.00
Total,481.00 - 490.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,21.00 - 30.00
Cultural and Linguistically Diverse participants,41.00 - 50.00
,
Service Type,Current spend
Capital,$504951
Community Participation Care,$2983891
Early Childhood Supports,$560670
Group Centre Care,$383056
High Needs Personal Care,$374874
Other Capacity Building,$2169795
Other Core,$2880082
Personal Care,$2908152
Plan Management,$369827
Shared Accommodation Supports,$2123901
Support Coordination,$463674
Therapy,$1787479
Total,$17510400
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,126,70,56
Community Participation Care,199,68,131
Early Childhood Supports,96,49,47
Group Centre Care,29,16,13
High Needs Personal Care,40,15,25
Other Capacity Building,263,90,173
Other Core,472,119,353
Personal Care,163,51,112
Plan Management,77,77,<5
Shared Accommodation Supports,43,24,19
Support Coordination,136,85,51
Therapy,332,119,213
Total,1356,479,877
,
