Service Type,Current participants
Capital,141.00 - 150.00
Community Participation Care,311.00 - 320.00
Early Childhood Supports,161.00 - 170.00
Group Centre Care,111.00 - 120.00
High Needs Personal Care,61.00 - 70.00
Other Capacity Building,251.00 - 260.00
Other Core,491.00 - 500.00
Personal Care,171.00 - 180.00
Plan Management,551.00 - 560.00
Shared Accommodation Supports,81.00 - 90.00
Support Coordination,351.00 - 360.00
Therapy,481.00 - 490.00
Total,771.00 - 780.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,71.00 - 80.00
Cultural and Linguistically Diverse participants,31.00 - 40.00
,
Service Type,Current spend
Capital,$930016
Community Participation Care,$6064391
Early Childhood Supports,$987576
Group Centre Care,$1890566
High Needs Personal Care,$470838
Other Capacity Building,$2491471
Other Core,$5228328
Personal Care,$5452786
Plan Management,$702192
Shared Accommodation Supports,$11696808
Support Coordination,$1367914
Therapy,$2709715
Total,$39992600
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,85,45,40
Community Participation Care,247,57,190
Early Childhood Supports,89,34,55
Group Centre Care,44,24,20
High Needs Personal Care,48,23,25
Other Capacity Building,158,66,92
Other Core,428,131,297
Personal Care,157,41,116
Plan Management,50,50,<5
Shared Accommodation Supports,67,32,35
Support Coordination,92,60,32
Therapy,240,76,164
Total,1066,342,724
,
