Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,71.00 - 80.00
Other Core,61.00 - 70.00
Personal Care,<=20
Plan Management,31.00 - 40.00
Shared Accommodation Supports,<=20
Support Coordination,21.00 - 30.00
Therapy,31.00 - 40.00
Total,91.00 - 100.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$52221
Community Participation Care,$472211
Early Childhood Supports,$98642
Group Centre Care,$80900
High Needs Personal Care,$187883
Other Capacity Building,$649812
Other Core,$982593
Personal Care,$540197
Plan Management,$42310
Shared Accommodation Supports,$208613
Support Coordination,$47061
Therapy,$252038
Total,$3614500
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,15,7,8
Community Participation Care,31,<5,28
Early Childhood Supports,21,8,13
Group Centre Care,12,<5,9
High Needs Personal Care,13,<5,10
Other Capacity Building,73,18,55
Other Core,127,29,98
Personal Care,23,<5,20
Plan Management,15,15,<5
Shared Accommodation Supports,10,<5,9
Support Coordination,16,10,6
Therapy,65,20,45
Total,311,85,226
,
