Service Type,Current participants
Capital,141.00 - 150.00
Community Participation Care,211.00 - 220.00
Early Childhood Supports,151.00 - 160.00
Group Centre Care,61.00 - 70.00
High Needs Personal Care,71.00 - 80.00
Other Capacity Building,241.00 - 250.00
Other Core,331.00 - 340.00
Personal Care,171.00 - 180.00
Plan Management,401.00 - 410.00
Shared Accommodation Supports,71.00 - 80.00
Support Coordination,241.00 - 250.00
Therapy,361.00 - 370.00
Total,551.00 - 560.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,61.00 - 70.00
Cultural and Linguistically Diverse participants,111.00 - 120.00
,
Service Type,Current spend
Capital,$1531549
Community Participation Care,$5942514
Early Childhood Supports,$1276584
Group Centre Care,$862776
High Needs Personal Care,$1103951
Other Capacity Building,$2371661
Other Core,$2476587
Personal Care,$8185289
Plan Management,$533836
Shared Accommodation Supports,$7729635
Support Coordination,$1035648
Therapy,$2997295
Total,$36047300
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,156,98,58
Community Participation Care,339,128,211
Early Childhood Supports,153,64,89
Group Centre Care,52,30,22
High Needs Personal Care,84,36,48
Other Capacity Building,220,103,117
Other Core,424,156,268
Personal Care,263,87,176
Plan Management,100,99,<5
Shared Accommodation Supports,73,35,38
Support Coordination,212,142,70
Therapy,478,175,303
Total,1552,654,898
,
