Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,<=20
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$12060
Community Participation Care,$79932
Early Childhood Supports,$47554
Group Centre Care,$7783
Other Capacity Building,$39119
Other Core,$28444
Personal Care,$17390
Plan Management,$18143
Shared Accommodation Supports,$6272
Support Coordination,$6682
Therapy,$97115
Total,$360500
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,9,<5,6
Community Participation Care,8,<5,6
Early Childhood Supports,11,5,6
Group Centre Care,<5,<5,<5
Other Capacity Building,10,5,5
Other Core,16,5,11
Personal Care,5,<5,<5
Plan Management,5,5,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,6,<5,<5
Therapy,23,9,14
Total,73,32,41
,
