Service Type,Current participants
Capital,21.00 - 30.00
Community Participation Care,21.00 - 30.00
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,91.00 - 100.00
Other Core,81.00 - 90.00
Personal Care,<=20
Plan Management,51.00 - 60.00
Shared Accommodation Supports,<=20
Support Coordination,21.00 - 30.00
Therapy,41.00 - 50.00
Total,131.00 - 140.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$125060
Community Participation Care,$724815
Early Childhood Supports,$113731
Group Centre Care,$59587
High Needs Personal Care,$48704
Other Capacity Building,$948777
Other Core,$1889354
Personal Care,$620341
Plan Management,$61553
Shared Accommodation Supports,$1532909
Support Coordination,$106405
Therapy,$362454
Total,$6593700
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,29,21,8
Community Participation Care,30,14,16
Early Childhood Supports,23,8,15
Group Centre Care,6,<5,<5
High Needs Personal Care,11,7,<5
Other Capacity Building,100,36,64
Other Core,124,33,91
Personal Care,26,13,13
Plan Management,30,30,<5
Shared Accommodation Supports,5,<5,<5
Support Coordination,31,24,7
Therapy,96,45,51
Total,369,154,215
,
