Service Type,Current participants
Capital,71.00 - 80.00
Community Participation Care,81.00 - 90.00
Early Childhood Supports,31.00 - 40.00
Group Centre Care,31.00 - 40.00
High Needs Personal Care,31.00 - 40.00
Other Capacity Building,191.00 - 200.00
Other Core,211.00 - 220.00
Personal Care,41.00 - 50.00
Plan Management,131.00 - 140.00
Shared Accommodation Supports,41.00 - 50.00
Support Coordination,101.00 - 110.00
Therapy,121.00 - 130.00
Total,301.00 - 310.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,21.00 - 30.00
,
Service Type,Current spend
Capital,$627101
Community Participation Care,$1801440
Early Childhood Supports,$126055
Group Centre Care,$1133846
High Needs Personal Care,$330500
Other Capacity Building,$1822622
Other Core,$2062838
Personal Care,$1453383
Plan Management,$174781
Shared Accommodation Supports,$7407713
Support Coordination,$423462
Therapy,$963107
Total,$18326800
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,63,42,21
Community Participation Care,126,46,80
Early Childhood Supports,46,23,23
Group Centre Care,33,23,10
High Needs Personal Care,36,15,21
Other Capacity Building,193,80,113
Other Core,313,118,195
Personal Care,82,28,54
Plan Management,43,43,<5
Shared Accommodation Supports,24,10,14
Support Coordination,70,55,15
Therapy,202,85,117
Total,876,362,514
,
