Service Type,Current participants
Capital,81.00 - 90.00
Community Participation Care,141.00 - 150.00
Early Childhood Supports,31.00 - 40.00
Group Centre Care,31.00 - 40.00
High Needs Personal Care,51.00 - 60.00
Other Capacity Building,251.00 - 260.00
Other Core,301.00 - 310.00
Personal Care,91.00 - 100.00
Plan Management,191.00 - 200.00
Shared Accommodation Supports,51.00 - 60.00
Support Coordination,161.00 - 170.00
Therapy,191.00 - 200.00
Total,401.00 - 410.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,31.00 - 40.00
,
Service Type,Current spend
Capital,$629829
Community Participation Care,$4270401
Early Childhood Supports,$201824
Group Centre Care,$834870
High Needs Personal Care,$1110485
Other Capacity Building,$4508184
Other Core,$2519865
Personal Care,$5425741
Plan Management,$260941
Shared Accommodation Supports,$12018517
Support Coordination,$987654
Therapy,$1815436
Total,$34583700
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,136,58,78
Community Participation Care,221,96,125
Early Childhood Supports,55,13,42
Group Centre Care,33,24,9
High Needs Personal Care,58,35,23
Other Capacity Building,287,80,207
Other Core,384,134,250
Personal Care,154,55,99
Plan Management,58,58,<5
Shared Accommodation Supports,37,20,17
Support Coordination,120,94,26
Therapy,388,129,259
Total,1400,501,899
,
