Service Type,Current participants
Capital,91.00 - 100.00
Community Participation Care,221.00 - 230.00
Early Childhood Supports,41.00 - 50.00
Group Centre Care,81.00 - 90.00
High Needs Personal Care,71.00 - 80.00
Other Capacity Building,201.00 - 210.00
Other Core,301.00 - 310.00
Personal Care,151.00 - 160.00
Plan Management,281.00 - 290.00
Shared Accommodation Supports,71.00 - 80.00
Support Coordination,221.00 - 230.00
Therapy,241.00 - 250.00
Total,371.00 - 380.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$520763
Community Participation Care,$5213018
Early Childhood Supports,$158300
Group Centre Care,$1189156
High Needs Personal Care,$1182642
Other Capacity Building,$1547351
Other Core,$4034151
Personal Care,$3242484
Plan Management,$374673
Shared Accommodation Supports,$7403884
Support Coordination,$991249
Therapy,$1425879
Total,$27283600
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,75,44,31
Community Participation Care,310,36,274
Early Childhood Supports,44,10,34
Group Centre Care,45,9,36
High Needs Personal Care,58,10,48
Other Capacity Building,191,52,139
Other Core,381,92,289
Personal Care,185,19,166
Plan Management,46,46,<5
Shared Accommodation Supports,60,15,45
Support Coordination,111,54,57
Therapy,250,57,193
Total,1001,269,732
,
