Service Type,Current participants
Capital,41.00 - 50.00
Community Participation Care,131.00 - 140.00
Early Childhood Supports,31.00 - 40.00
Group Centre Care,31.00 - 40.00
High Needs Personal Care,31.00 - 40.00
Other Capacity Building,151.00 - 160.00
Other Core,201.00 - 210.00
Personal Care,101.00 - 110.00
Plan Management,181.00 - 190.00
Shared Accommodation Supports,21.00 - 30.00
Support Coordination,141.00 - 150.00
Therapy,171.00 - 180.00
Total,291.00 - 300.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,31.00 - 40.00
,
Service Type,Current spend
Capital,$213611
Community Participation Care,$4749511
Early Childhood Supports,$108649
Group Centre Care,$383881
High Needs Personal Care,$260219
Other Capacity Building,$1339122
Other Core,$1870403
Personal Care,$4958777
Plan Management,$237512
Shared Accommodation Supports,$1120501
Support Coordination,$647000
Therapy,$1479147
Total,$17368300
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,46,31,15
Community Participation Care,244,78,166
Early Childhood Supports,39,18,21
Group Centre Care,32,24,8
High Needs Personal Care,43,21,22
Other Capacity Building,127,52,75
Other Core,266,107,159
Personal Care,187,54,133
Plan Management,47,47,<5
Shared Accommodation Supports,32,11,21
Support Coordination,97,74,23
Therapy,255,98,157
Total,904,360,544
,
