Service Type,Current participants
Capital,21.00 - 30.00
Community Participation Care,31.00 - 40.00
Early Childhood Supports,31.00 - 40.00
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,101.00 - 110.00
Other Core,81.00 - 90.00
Personal Care,21.00 - 30.00
Plan Management,81.00 - 90.00
Shared Accommodation Supports,<=20
Support Coordination,41.00 - 50.00
Therapy,71.00 - 80.00
Total,151.00 - 160.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$207164
Community Participation Care,$932601
Early Childhood Supports,$185160
Group Centre Care,$221462
High Needs Personal Care,$166205
Other Capacity Building,$828986
Other Core,$730092
Personal Care,$615381
Plan Management,$106992
Shared Accommodation Supports,$2385608
Support Coordination,$125004
Therapy,$427439
Total,$6932100
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,23,16,7
Community Participation Care,50,22,28
Early Childhood Supports,36,17,19
Group Centre Care,12,9,<5
High Needs Personal Care,15,8,7
Other Capacity Building,94,34,60
Other Core,103,39,64
Personal Care,33,12,21
Plan Management,25,25,<5
Shared Accommodation Supports,12,9,<5
Support Coordination,33,23,10
Therapy,110,46,64
Total,345,151,194
,
