Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,21.00 - 30.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$10905
Community Participation Care,$152717
Early Childhood Supports,$41490
Group Centre Care,$13785
High Needs Personal Care,$455
Other Capacity Building,$85929
Other Core,$50375
Personal Care,$3834
Plan Management,$18189
Shared Accommodation Supports,$54560
Support Coordination,$27917
Therapy,$50308
Total,$510500
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,5,<5,<5
Community Participation Care,8,5,<5
Early Childhood Supports,6,<5,<5
Group Centre Care,<5,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,10,6,<5
Other Core,15,<5,11
Personal Care,<5,<5,<5
Plan Management,10,10,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,8,8,<5
Therapy,18,<5,14
Total,68,35,33
,
