Service Type,Current participants
Capital,311.00 - 320.00
Community Participation Care,461.00 - 470.00
Early Childhood Supports,131.00 - 140.00
Group Centre Care,141.00 - 150.00
High Needs Personal Care,141.00 - 150.00
Other Capacity Building,361.00 - 370.00
Other Core,661.00 - 670.00
Personal Care,321.00 - 330.00
Plan Management,671.00 - 680.00
Shared Accommodation Supports,221.00 - 230.00
Support Coordination,481.00 - 490.00
Therapy,601.00 - 610.00
Total,821.00 - 830.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,31.00 - 40.00
Cultural and Linguistically Diverse participants,71.00 - 80.00
,
Service Type,Current spend
Capital,$3114771
Community Participation Care,$11681222
Early Childhood Supports,$856001
Group Centre Care,$1906669
High Needs Personal Care,$2483201
Other Capacity Building,$3313699
Other Core,$6938670
Personal Care,$14344357
Plan Management,$890330
Shared Accommodation Supports,$36516916
Support Coordination,$2144195
Therapy,$5077909
Total,$89267900
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,159,91,68
Community Participation Care,475,144,331
Early Childhood Supports,132,56,76
Group Centre Care,80,41,39
High Needs Personal Care,110,52,58
Other Capacity Building,264,116,148
Other Core,804,236,568
Personal Care,433,119,314
Plan Management,70,70,<5
Shared Accommodation Supports,121,69,52
Support Coordination,233,127,106
Therapy,641,166,475
Total,2129,624,1505
,
