Service Type,Current participants
Capital,211.00 - 220.00
Community Participation Care,301.00 - 310.00
Early Childhood Supports,71.00 - 80.00
Group Centre Care,121.00 - 130.00
High Needs Personal Care,131.00 - 140.00
Other Capacity Building,471.00 - 480.00
Other Core,591.00 - 600.00
Personal Care,211.00 - 220.00
Plan Management,421.00 - 430.00
Shared Accommodation Supports,121.00 - 130.00
Support Coordination,351.00 - 360.00
Therapy,401.00 - 410.00
Total,781.00 - 790.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,91.00 - 100.00
,
Service Type,Current spend
Capital,$2050876
Community Participation Care,$7265115
Early Childhood Supports,$330469
Group Centre Care,$2618240
High Needs Personal Care,$4068184
Other Capacity Building,$4437191
Other Core,$8322794
Personal Care,$7833420
Plan Management,$548535
Shared Accommodation Supports,$14330079
Support Coordination,$1493032
Therapy,$3187885
Total,$56485800
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,167,98,69
Community Participation Care,463,128,335
Early Childhood Supports,80,28,52
Group Centre Care,74,38,36
High Needs Personal Care,152,58,94
Other Capacity Building,357,146,211
Other Core,658,217,441
Personal Care,338,85,253
Plan Management,68,68,<5
Shared Accommodation Supports,83,40,43
Support Coordination,193,134,59
Therapy,562,172,390
Total,2093,680,1413
,
