Service Type,Current participants
Capital,21.00 - 30.00
Community Participation Care,21.00 - 30.00
Early Childhood Supports,21.00 - 30.00
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,41.00 - 50.00
Other Core,51.00 - 60.00
Personal Care,<=20
Plan Management,51.00 - 60.00
Shared Accommodation Supports,<=20
Support Coordination,21.00 - 30.00
Therapy,41.00 - 50.00
Total,81.00 - 90.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$165341
Community Participation Care,$912399
Early Childhood Supports,$180378
Group Centre Care,$83798
High Needs Personal Care,$3639
Other Capacity Building,$465967
Other Core,$751518
Personal Care,$565043
Plan Management,$72643
Shared Accommodation Supports,$368285
Support Coordination,$64225
Therapy,$404215
Total,$4037500
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,35,16,19
Community Participation Care,72,7,65
Early Childhood Supports,30,9,21
Group Centre Care,8,<5,6
High Needs Personal Care,10,<5,8
Other Capacity Building,47,18,29
Other Core,81,17,64
Personal Care,70,<5,66
Plan Management,28,28,<5
Shared Accommodation Supports,9,<5,7
Support Coordination,27,12,15
Therapy,94,26,68
Total,345,111,234
,
