Service Type,Current participants
Capital,31.00 - 40.00
Community Participation Care,31.00 - 40.00
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,81.00 - 90.00
Other Core,101.00 - 110.00
Personal Care,31.00 - 40.00
Plan Management,61.00 - 70.00
Shared Accommodation Supports,<=20
Support Coordination,31.00 - 40.00
Therapy,51.00 - 60.00
Total,121.00 - 130.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$124613
Community Participation Care,$1101355
Early Childhood Supports,$37325
Group Centre Care,$71183
High Needs Personal Care,$486338
Other Capacity Building,$592094
Other Core,$1385414
Personal Care,$1251002
Plan Management,$82166
Shared Accommodation Supports,$134318
Support Coordination,$127826
Therapy,$338629
Total,$5732300
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,33,14,19
Community Participation Care,91,10,81
Early Childhood Supports,20,<5,16
Group Centre Care,8,<5,6
High Needs Personal Care,29,<5,27
Other Capacity Building,94,16,78
Other Core,282,52,230
Personal Care,77,7,70
Plan Management,19,19,<5
Shared Accommodation Supports,10,<5,9
Support Coordination,25,18,7
Therapy,96,21,75
Total,527,124,403
,
