Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,<=20
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$60375
Community Participation Care,$267610
Early Childhood Supports,$2810
Group Centre Care,$42666
High Needs Personal Care,$9310
Other Capacity Building,$88934
Other Core,$77846
Personal Care,$91113
Plan Management,$23389
Shared Accommodation Supports,$9707
Support Coordination,$72422
Therapy,$69618
Total,$815800
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,10,8,<5
Community Participation Care,21,<5,17
Early Childhood Supports,<5,<5,<5
Group Centre Care,5,<5,<5
High Needs Personal Care,7,<5,6
Other Capacity Building,8,<5,6
Other Core,25,8,17
Personal Care,8,<5,7
Plan Management,5,5,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,11,<5,8
Therapy,16,6,10
Total,76,28,48
,
