Service Type,Current participants
Capital,71.00 - 80.00
Community Participation Care,141.00 - 150.00
Early Childhood Supports,61.00 - 70.00
Group Centre Care,41.00 - 50.00
High Needs Personal Care,21.00 - 30.00
Other Capacity Building,171.00 - 180.00
Other Core,241.00 - 250.00
Personal Care,101.00 - 110.00
Plan Management,191.00 - 200.00
Shared Accommodation Supports,41.00 - 50.00
Support Coordination,141.00 - 150.00
Therapy,221.00 - 230.00
Total,371.00 - 380.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,61.00 - 70.00
,
Service Type,Current spend
Capital,$438041
Community Participation Care,$4966081
Early Childhood Supports,$348290
Group Centre Care,$728011
High Needs Personal Care,$654804
Other Capacity Building,$1857070
Other Core,$3160422
Personal Care,$3267049
Plan Management,$265011
Shared Accommodation Supports,$4195163
Support Coordination,$480783
Therapy,$1967225
Total,$22327900
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,69,42,27
Community Participation Care,182,100,82
Early Childhood Supports,84,34,50
Group Centre Care,40,28,12
High Needs Personal Care,43,19,24
Other Capacity Building,153,87,66
Other Core,293,143,150
Personal Care,121,57,64
Plan Management,78,78,<5
Shared Accommodation Supports,38,28,10
Support Coordination,129,103,26
Therapy,302,151,151
Total,973,528,445
,
