Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,<=20
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$23070
Community Participation Care,$28625
Early Childhood Supports,$14418
Group Centre Care,$1032
Other Capacity Building,$21499
Other Core,$169363
Personal Care,$109873
Plan Management,$21593
Shared Accommodation Supports,$2599
Support Coordination,$24909
Therapy,$34443
Total,$451400
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,5,5,<5
Community Participation Care,10,<5,9
Early Childhood Supports,<5,<5,<5
Group Centre Care,<5,<5,<5
Other Capacity Building,5,<5,<5
Other Core,18,10,8
Personal Care,6,<5,5
Plan Management,<5,<5,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,<5,<5,<5
Therapy,12,7,5
Total,43,22,21
,
