Service Type,Current participants
Capital,<=20
Community Participation Care,<=20
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,<=20
Personal Care,<=20
Plan Management,<=20
Shared Accommodation Supports,<=20
Support Coordination,<=20
Therapy,<=20
Total,<=20
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$1262
Community Participation Care,$174001
Early Childhood Supports,$6282
Group Centre Care,$8677
High Needs Personal Care,$113
Other Capacity Building,$1939
Other Core,$27269
Personal Care,$28269
Plan Management,$11566
Shared Accommodation Supports,$113661
Support Coordination,$19356
Therapy,$24277
Total,$416700
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,<5,<5,<5
Community Participation Care,13,<5,10
Early Childhood Supports,<5,<5,<5
Group Centre Care,<5,<5,<5
High Needs Personal Care,<5,<5,<5
Other Capacity Building,<5,<5,<5
Other Core,9,<5,7
Personal Care,6,<5,5
Plan Management,6,6,<5
Shared Accommodation Supports,<5,<5,<5
Support Coordination,6,<5,<5
Therapy,13,7,6
Total,40,19,21
,
