Service Type,Current participants
Capital,41.00 - 50.00
Community Participation Care,61.00 - 70.00
Early Childhood Supports,<=20
Group Centre Care,31.00 - 40.00
High Needs Personal Care,21.00 - 30.00
Other Capacity Building,151.00 - 160.00
Other Core,151.00 - 160.00
Personal Care,61.00 - 70.00
Plan Management,101.00 - 110.00
Shared Accommodation Supports,31.00 - 40.00
Support Coordination,81.00 - 90.00
Therapy,101.00 - 110.00
Total,231.00 - 240.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,31.00 - 40.00
,
Service Type,Current spend
Capital,$326204
Community Participation Care,$1298097
Early Childhood Supports,$69899
Group Centre Care,$1194867
High Needs Personal Care,$584026
Other Capacity Building,$1737745
Other Core,$2398969
Personal Care,$2980694
Plan Management,$129168
Shared Accommodation Supports,$5877314
Support Coordination,$310185
Therapy,$855588
Total,$17762800
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,33,27,6
Community Participation Care,84,36,48
Early Childhood Supports,17,6,11
Group Centre Care,24,18,6
High Needs Personal Care,25,10,15
Other Capacity Building,125,38,87
Other Core,198,89,109
Personal Care,65,24,41
Plan Management,30,30,<5
Shared Accommodation Supports,19,13,6
Support Coordination,51,40,11
Therapy,147,61,86
Total,566,255,311
,
