Service Type,Current participants
Capital,<=20
Community Participation Care,21.00 - 30.00
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,21.00 - 30.00
Other Core,31.00 - 40.00
Personal Care,<=20
Plan Management,41.00 - 50.00
Shared Accommodation Supports,<=20
Support Coordination,21.00 - 30.00
Therapy,31.00 - 40.00
Total,51.00 - 60.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$86906
Community Participation Care,$756255
Early Childhood Supports,$9229
Group Centre Care,$9536
High Needs Personal Care,$1066173
Other Capacity Building,$145334
Other Core,$464381
Personal Care,$632019
Plan Management,$67612
Shared Accommodation Supports,$311373
Support Coordination,$98885
Therapy,$186889
Total,$3834600
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,17,7,10
Community Participation Care,50,10,40
Early Childhood Supports,12,<5,9
Group Centre Care,8,<5,7
High Needs Personal Care,10,<5,8
Other Capacity Building,30,9,21
Other Core,65,17,48
Personal Care,29,7,22
Plan Management,21,21,<5
Shared Accommodation Supports,14,<5,10
Support Coordination,34,18,16
Therapy,56,12,44
Total,236,77,159
,
