Service Type,Current participants
Capital,61.00 - 70.00
Community Participation Care,161.00 - 170.00
Early Childhood Supports,71.00 - 80.00
Group Centre Care,51.00 - 60.00
High Needs Personal Care,41.00 - 50.00
Other Capacity Building,151.00 - 160.00
Other Core,221.00 - 230.00
Personal Care,111.00 - 120.00
Plan Management,221.00 - 230.00
Shared Accommodation Supports,51.00 - 60.00
Support Coordination,161.00 - 170.00
Therapy,241.00 - 250.00
Total,341.00 - 350.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,131.00 - 140.00
,
Service Type,Current spend
Capital,$449001
Community Participation Care,$5151679
Early Childhood Supports,$621349
Group Centre Care,$1340475
High Needs Personal Care,$145473
Other Capacity Building,$1572011
Other Core,$1858520
Personal Care,$3561028
Plan Management,$293469
Shared Accommodation Supports,$8770121
Support Coordination,$602999
Therapy,$1880131
Total,$26246300
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,48,39,9
Community Participation Care,198,116,82
Early Childhood Supports,69,27,42
Group Centre Care,46,36,10
High Needs Personal Care,40,26,14
Other Capacity Building,130,67,63
Other Core,214,120,94
Personal Care,114,69,45
Plan Management,66,66,<5
Shared Accommodation Supports,35,27,8
Support Coordination,115,94,21
Therapy,298,156,142
Total,837,468,369
,
