Service Type,Current participants
Capital,41.00 - 50.00
Community Participation Care,81.00 - 90.00
Early Childhood Supports,31.00 - 40.00
Group Centre Care,<=20
High Needs Personal Care,21.00 - 30.00
Other Capacity Building,151.00 - 160.00
Other Core,171.00 - 180.00
Personal Care,61.00 - 70.00
Plan Management,131.00 - 140.00
Shared Accommodation Supports,<=20
Support Coordination,91.00 - 100.00
Therapy,111.00 - 120.00
Total,241.00 - 250.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,21.00 - 30.00
,
Service Type,Current spend
Capital,$191169
Community Participation Care,$2275742
Early Childhood Supports,$124472
Group Centre Care,$48598
High Needs Personal Care,$35097
Other Capacity Building,$1327701
Other Core,$2320127
Personal Care,$1851529
Plan Management,$176065
Shared Accommodation Supports,$281919
Support Coordination,$370474
Therapy,$928085
Total,$9931000
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,50,31,19
Community Participation Care,144,51,93
Early Childhood Supports,47,22,25
Group Centre Care,16,5,11
High Needs Personal Care,35,16,19
Other Capacity Building,157,59,98
Other Core,258,84,174
Personal Care,96,27,69
Plan Management,50,50,<5
Shared Accommodation Supports,18,6,12
Support Coordination,98,64,34
Therapy,259,104,155
Total,854,349,505
,
