Service Type,Current participants
Capital,31.00 - 40.00
Community Participation Care,71.00 - 80.00
Early Childhood Supports,21.00 - 30.00
Group Centre Care,21.00 - 30.00
High Needs Personal Care,21.00 - 30.00
Other Capacity Building,31.00 - 40.00
Other Core,91.00 - 100.00
Personal Care,41.00 - 50.00
Plan Management,121.00 - 130.00
Shared Accommodation Supports,<=20
Support Coordination,71.00 - 80.00
Therapy,91.00 - 100.00
Total,141.00 - 150.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$96192
Community Participation Care,$975065
Early Childhood Supports,$141044
Group Centre Care,$407033
High Needs Personal Care,$273102
Other Capacity Building,$239298
Other Core,$878891
Personal Care,$2275156
Plan Management,$157133
Shared Accommodation Supports,$908033
Support Coordination,$205274
Therapy,$555578
Total,$7111800
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,32,19,13
Community Participation Care,85,21,64
Early Childhood Supports,12,7,5
Group Centre Care,11,6,5
High Needs Personal Care,18,8,10
Other Capacity Building,43,21,22
Other Core,106,48,58
Personal Care,61,15,46
Plan Management,17,17,<5
Shared Accommodation Supports,16,6,10
Support Coordination,28,18,10
Therapy,68,21,47
Total,312,119,193
,
