Service Type,Current participants
Capital,<=20
Community Participation Care,21.00 - 30.00
Early Childhood Supports,<=20
Group Centre Care,<=20
High Needs Personal Care,<=20
Other Capacity Building,<=20
Other Core,41.00 - 50.00
Personal Care,<=20
Plan Management,41.00 - 50.00
Shared Accommodation Supports,<=20
Support Coordination,21.00 - 30.00
Therapy,31.00 - 40.00
Total,61.00 - 70.00
,
Participant profile,Current participants
Aboriginal and Torres Strait Islander participants,<=20
Cultural and Linguistically Diverse participants,<=20
,
Service Type,Current spend
Capital,$114857
Community Participation Care,$1152769
Early Childhood Supports,$72011
Group Centre Care,$62817
High Needs Personal Care,$24369
Other Capacity Building,$175513
Other Core,$397882
Personal Care,$703550
Plan Management,$62501
Shared Accommodation Supports,$344413
Support Coordination,$80982
Therapy,$203455
Total,$3395100
,
Service Type,Active Providers,Registered Providers,Unregistered Providers
,,,
Capital,11,10,<5
Community Participation Care,44,11,33
Early Childhood Supports,20,11,9
Group Centre Care,8,<5,5
High Needs Personal Care,7,<5,5
Other Capacity Building,30,16,14
Other Core,66,20,46
Personal Care,27,7,20
Plan Management,16,16,<5
Shared Accommodation Supports,11,<5,10
Support Coordination,22,19,<5
Therapy,50,25,25
Total,211,88,123
,
